CPU counts:  24
gradient ascent n=300, tries=300, d=5, alpha=[0.26675964 0.23859708 0.20663113 0.16871361 0.11929854]
EYD tableau: [90, 69, 59, 52, 30] with error 0.0379
MLE tableau: [78.22789265 62.41408342 62.38933909 62.37912322 34.58956161] with error 0.0406
EYD tableau: [84, 77, 63, 42, 34] with error 0.0347
MLE tableau: [71.82789265 71.78933909 71.77912322 42.38956161 42.21408342] with error 0.0547
EYD tableau: [94, 77, 57, 46, 26] with error 0.0646
MLE tableau: [80.82789265 80.77912322 54.41408342 54.38933909 29.58956161] with error 0.0459
EYD tableau: [84, 75, 65, 45, 31] with error 0.0347
MLE tableau: [71.62789265 71.58933909 71.57912322 47.61408342 37.58956161] with error 0.038
EYD tableau: [85, 80, 55, 48, 32] with error 0.0446
MLE tableau: [77.02789265 76.97912322 53.21408342 53.18933909 39.58956161] with error 0.0393
EYD tableau: [95, 76, 64, 39, 26] with error 0.0713
MLE tableau: [76.77912322 76.62789265 76.58933909 37.61408342 32.38956161] with error 0.0655
EYD tableau: [78, 74, 59, 53, 36] with error 0.0167
MLE tableau: [63.57912322 63.42789265 63.41408342 63.38933909 46.18956161] with error 0.082
EYD tableau: [86, 78, 58, 53, 25] with error 0.0493
MLE tableau: [68.17912322 68.02789265 68.01408342 67.98933909 27.78956161] with error 0.078
EYD tableau: [94, 78, 46, 43, 39] with error 0.0787
MLE tableau: [82.42789265 82.37912322 45.18933909 45.01408342 44.98956161] with error 0.0747
EYD tableau: [100, 75, 54, 41, 30] with error 0.078
MLE tableau: [93.42789265 74.37912322 49.78933909 41.21408342 41.18956161] with error 0.072
EYD tableau: [94, 78, 59, 37, 32] with error 0.068
MLE tableau: [81.02789265 80.97912322 62.38933909 37.81408342 37.78956161] with error 0.0427
EYD tableau: [97, 76, 59, 43, 25] with error 0.0713
MLE tableau: [88.42789265 74.17912322 61.18933909 47.81408342 28.38956161] with error 0.0367
EYD tableau: [82, 77, 57, 46, 38] with error 0.032
MLE tableau: [71.82789265 71.77912322 52.18956161 52.18933909 52.01408342] with error 0.06
EYD tableau: [93, 71, 59, 44, 33] with error 0.0432
MLE tableau: [85.02789265 63.58933909 63.57912322 43.98956161 43.81408342] with error 0.0487
EYD tableau: [83, 76, 60, 45, 36] with error 0.0253
MLE tableau: [68.97912322 68.82789265 68.78933909 46.78956161 46.61408342] with error 0.0587
EYD tableau: [90, 73, 62, 48, 27] with error 0.038
MLE tableau: [76.22789265 65.78933909 65.77912322 61.81408342 30.38956161] with error 0.05
EYD tableau: [86, 77, 62, 41, 34] with error 0.038
MLE tableau: [72.37912322 72.22789265 72.18933909 41.61408342 41.58956161] with error 0.0555
EYD tableau: [94, 76, 60, 48, 22] with error 0.0613
MLE tableau: [80.42789265 77.17912322 59.01408342 58.98933909 24.38956161] with error 0.0479
EYD tableau: [86, 79, 52, 45, 38] with error 0.052
MLE tableau: [77.62789265 77.57912322 48.38933909 48.21408342 48.18956161] with error 0.0613
EYD tableau: [91, 72, 65, 42, 30] with error 0.048
MLE tableau: [73.77912322 73.62789265 73.58933909 39.58956161 39.41408342] with error 0.0576
EYD tableau: [97, 72, 66, 41, 24] with error 0.0713
MLE tableau: [87.42789265 70.97912322 70.78933909 43.41408342 27.38956161] with error 0.054
EYD tableau: [85, 70, 64, 49, 32] with error 0.0233
MLE tableau: [65.78933909 65.77912322 65.62789265 65.61408342 37.18956161] with error 0.0668
EYD tableau: [100, 71, 62, 44, 23] with error 0.0666
MLE tableau: [94.02789265 64.38933909 64.37912322 51.41408342 25.78956161] with error 0.0573
EYD tableau: [92, 76, 62, 43, 27] with error 0.0547
MLE tableau: [74.38933909 74.37912322 74.22789265 45.61408342 31.38956161] with error 0.0501
EYD tableau: [85, 79, 62, 44, 30] with error 0.0413
MLE tableau: [72.77912322 72.62789265 72.58933909 45.61408342 36.38956161] with error 0.0408
EYD tableau: [86, 72, 65, 48, 29] with error 0.0313
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [88, 81, 68, 37, 26] with error 0.078
MLE tableau: [77.57912322 77.42789265 77.38933909 33.81408342 33.78956161] with error 0.0708
EYD tableau: [93, 71, 57, 45, 34] with error 0.0432
MLE tableau: [85.82789265 63.37912322 57.78933909 46.58956161 46.41408342] with error 0.0547
EYD tableau: [89, 67, 66, 49, 29] with error 0.0433
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [92, 79, 51, 41, 37] with error 0.0687
MLE tableau: [81.77912322 81.62789265 45.58956161 45.58933909 45.41408342] with error 0.0714
EYD tableau: [94, 75, 64, 42, 25] with error 0.0647
MLE tableau: [75.77912322 75.62789265 75.58933909 44.41408342 28.58956161] with error 0.0588
EYD tableau: [90, 75, 58, 42, 35] with error 0.0446
MLE tableau: [76.82789265 76.77912322 57.98933909 44.21408342 44.18956161] with error 0.0453
EYD tableau: [87, 64, 60, 50, 39] with error 0.0339
MLE tableau: [76.22789265 55.98956161 55.98933909 55.97912322 55.81408342] with error 0.0846
EYD tableau: [82, 73, 54, 52, 39] with error 0.0266
MLE tableau: [60.02789265 60.01408342 59.98956161 59.98933909 59.97912322] with error 0.1119
EYD tableau: [94, 77, 52, 43, 34] with error 0.0646
MLE tableau: [81.77912322 81.62789265 45.58956161 45.58933909 45.41408342] with error 0.0714
EYD tableau: [85, 82, 56, 46, 31] with error 0.0513
MLE tableau: [78.57912322 78.42789265 52.61408342 52.58933909 37.78956161] with error 0.0361
EYD tableau: [90, 69, 59, 46, 36] with error 0.0339
MLE tableau: [82.02789265 55.98933909 55.97912322 55.81408342 50.18956161] with error 0.072
EYD tableau: [87, 74, 64, 44, 31] with error 0.038
MLE tableau: [72.37912322 72.22789265 72.18933909 43.01408342 40.18956161] with error 0.0508
EYD tableau: [90, 76, 63, 42, 29] with error 0.0513
MLE tableau: [74.18933909 74.17912322 74.02789265 40.41408342 37.18956161] with error 0.0535
EYD tableau: [93, 79, 52, 50, 26] with error 0.068
MLE tableau: [81.62789265 81.57912322 53.61408342 53.58933909 29.58956161] with error 0.0486
EYD tableau: [99, 70, 53, 48, 30] with error 0.0632
MLE tableau: [93.82789265 56.97912322 56.81408342 56.78933909 35.58956161] with error 0.0666
EYD tableau: [95, 78, 60, 43, 24] with error 0.0713
MLE tableau: [81.42789265 81.37912322 62.58933909 47.41408342 27.18956161] with error 0.0393
EYD tableau: [86, 70, 60, 50, 34] with error 0.0199
MLE tableau: [64.82789265 64.81408342 64.78933909 64.77912322 40.78956161] with error 0.0732
EYD tableau: [95, 78, 53, 42, 32] with error 0.0713
MLE tableau: [83.02789265 82.97912322 44.78933909 44.61408342 44.58956161] with error 0.0773
EYD tableau: [92, 70, 68, 43, 27] with error 0.0599
MLE tableau: [74.38933909 74.37912322 74.22789265 45.61408342 31.38956161] with error 0.0501
EYD tableau: [90, 76, 65, 43, 26] with error 0.058
MLE tableau: [74.78933909 74.77912322 74.62789265 46.01408342 29.78956161] with error 0.0528
EYD tableau: [86, 74, 62, 47, 31] with error 0.028
MLE tableau: [69.57912322 69.42789265 69.38933909 55.61408342 35.98956161] with error 0.042
EYD tableau: [92, 73, 62, 44, 29] with error 0.0447
MLE tableau: [73.02789265 72.98933909 72.97912322 46.61408342 34.38956161] with error 0.0413
EYD tableau: [96, 71, 57, 47, 29] with error 0.0532
MLE tableau: [89.62789265 58.98933909 58.97912322 58.81408342 33.58956161] with error 0.0593
EYD tableau: [90, 71, 57, 49, 33] with error 0.0332
MLE tableau: [80.62789265 59.81408342 59.78933909 59.77912322 39.98956161] with error 0.0466
EYD tableau: [96, 72, 60, 39, 33] with error 0.0546
MLE tableau: [88.62789265 65.78933909 65.77912322 39.98956161 39.81408342] with error 0.0547
EYD tableau: [97, 72, 61, 44, 26] with error 0.058
MLE tableau: [90.02789265 65.18933909 65.17912322 50.01408342 29.58956161] with error 0.044
EYD tableau: [89, 75, 56, 44, 36] with error 0.042
MLE tableau: [76.82789265 76.77912322 48.81408342 48.78956161 48.78933909] with error 0.0607
EYD tableau: [92, 73, 54, 46, 35] with error 0.0446
MLE tableau: [80.22789265 74.77912322 48.38956161 48.38933909 48.21408342] with error 0.0527
EYD tableau: [82, 79, 63, 49, 27] with error 0.0347
MLE tableau: [67.57912322 67.42789265 67.41408342 67.38933909 30.18956161] with error 0.074
EYD tableau: [99, 78, 51, 49, 23] with error 0.0846
MLE tableau: [88.62789265 80.97912322 52.38933909 52.21408342 25.78956161] with error 0.0653
EYD tableau: [79, 71, 61, 57, 32] with error 0.0213
MLE tableau: [65.78933909 65.77912322 65.62789265 65.61408342 37.18956161] with error 0.0668
EYD tableau: [92, 84, 56, 37, 31] with error 0.0813
MLE tableau: [84.42789265 84.37912322 55.78933909 37.78956161 37.61408342] with error 0.0634
EYD tableau: [93, 68, 58, 50, 31] with error 0.0432
MLE tableau: [85.42789265 59.38933909 59.37912322 59.21408342 36.58956161] with error 0.0493
EYD tableau: [95, 69, 57, 44, 35] with error 0.0499
