CPU counts:  24
n=tol=80, tries=288, dist_try=1, d=3, alpha=[0.5        0.33333333 0.16666667]
EYD tableau: [35, 34, 11] with error 0.0917
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [42, 29, 9] with error 0.0542
MLE tableau: [35. 35. 10.] with error 0.1042
EYD tableau: [41, 29, 10] with error 0.0417
MLE tableau: [35. 34. 11.] with error 0.0917
EYD tableau: [44, 28, 8] with error 0.0667
MLE tableau: [41. 30.  9.] with error 0.0542
EYD tableau: [44, 22, 14] with error 0.0583
MLE tableau: [42. 19. 19.] with error 0.0958
EYD tableau: [45, 26, 9] with error 0.0625
MLE tableau: [43. 27. 10.] with error 0.0417
EYD tableau: [37, 23, 20] with error 0.0833
MLE tableau: [27. 27. 26.] with error 0.1625
EYD tableau: [41, 28, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [40, 28, 12] with error 0.0167
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [46, 25, 9] with error 0.075
MLE tableau: [44. 26. 10.] with error 0.05
EYD tableau: [36, 31, 13] with error 0.0542
MLE tableau: [33. 32. 15.] with error 0.0875
EYD tableau: [37, 30, 13] with error 0.0417
MLE tableau: [33. 32. 15.] with error 0.0875
EYD tableau: [38, 30, 12] with error 0.0417
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [39, 30, 11] with error 0.0417
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [40, 28, 12] with error 0.0167
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [39, 32, 9] with error 0.0667
MLE tableau: [35. 35. 10.] with error 0.1042
EYD tableau: [41, 28, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [41, 26, 13] with error 0.0125
MLE tableau: [38. 27. 15.] with error 0.025
EYD tableau: [41, 25, 14] with error 0.0208
MLE tableau: [38. 25. 17.] with error 0.0458
EYD tableau: [39, 24, 17] with error 0.0458
MLE tableau: [36. 22. 22.] with error 0.1083
EYD tableau: [44, 25, 11] with error 0.05
MLE tableau: [42. 26. 12.] with error 0.025
EYD tableau: [44, 25, 11] with error 0.05
MLE tableau: [42. 26. 12.] with error 0.025
EYD tableau: [44, 23, 13] with error 0.05
MLE tableau: [42. 22. 16.] with error 0.0583
EYD tableau: [44, 25, 11] with error 0.05
MLE tableau: [42. 26. 12.] with error 0.025
EYD tableau: [45, 23, 12] with error 0.0625
MLE tableau: [44. 22. 14.] with error 0.0583
EYD tableau: [44, 21, 15] with error 0.0708
MLE tableau: [42. 19. 19.] with error 0.0958
EYD tableau: [46, 23, 11] with error 0.075
MLE tableau: [44. 23. 13.] with error 0.05
EYD tableau: [47, 25, 8] with error 0.0875
MLE tableau: [45. 26.  9.] with error 0.0625
EYD tableau: [49, 25, 6] with error 0.1125
MLE tableau: [48. 26.  6.] with error 0.1
EYD tableau: [48, 25, 7] with error 0.1
MLE tableau: [46. 26.  8.] with error 0.075
EYD tableau: [40, 23, 17] with error 0.0458
MLE tableau: [37. 22. 21.] with error 0.0958
EYD tableau: [34, 32, 14] with error 0.075
MLE tableau: [32. 32. 16.] with error 0.1
EYD tableau: [54, 21, 5] with error 0.175
MLE tableau: [53. 21.  6.] with error 0.1625
EYD tableau: [38, 27, 15] with error 0.025
MLE tableau: [31. 31. 18.] with error 0.1125
EYD tableau: [43, 24, 13] with error 0.0375
MLE tableau: [41. 24. 15.] with error 0.0333
EYD tableau: [40, 30, 10] with error 0.0417
MLE tableau: [35. 34. 11.] with error 0.0917
EYD tableau: [39, 24, 17] with error 0.0458
MLE tableau: [36. 22. 22.] with error 0.1083
EYD tableau: [43, 27, 10] with error 0.0417
MLE tableau: [40. 29. 11.] with error 0.0292
EYD tableau: [40, 27, 13] with error 0.0042
MLE tableau: [34. 31. 15.] with error 0.075
EYD tableau: [40, 32, 8] with error 0.0667
MLE tableau: [36. 35.  9.] with error 0.1042
EYD tableau: [41, 29, 10] with error 0.0417
MLE tableau: [35. 34. 11.] with error 0.0917
EYD tableau: [34, 29, 17] with error 0.075
MLE tableau: [27. 27. 26.] with error 0.1625
EYD tableau: [52, 19, 9] with error 0.15
MLE tableau: [51. 18. 11.] with error 0.1375
EYD tableau: [40, 29, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [38, 30, 12] with error 0.0417
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [44, 26, 10] with error 0.05
MLE tableau: [42. 27. 11.] with error 0.0292
EYD tableau: [49, 22, 9] with error 0.1125
MLE tableau: [48. 22. 10.] with error 0.1
EYD tableau: [40, 25, 15] with error 0.0208
MLE tableau: [37. 24. 19.] with error 0.0708
EYD tableau: [38, 30, 12] with error 0.0417
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [41, 29, 10] with error 0.0417
MLE tableau: [35. 34. 11.] with error 0.0917
EYD tableau: [39, 25, 16] with error 0.0333
MLE tableau: [36. 22. 22.] with error 0.1083
EYD tableau: [43, 28, 9] with error 0.0542
MLE tableau: [39. 31. 10.] with error 0.0542
EYD tableau: [37, 26, 17] with error 0.0458
MLE tableau: [31. 26. 23.] with error 0.1208
EYD tableau: [41, 25, 14] with error 0.0208
MLE tableau: [38. 25. 17.] with error 0.0458
EYD tableau: [43, 27, 10] with error 0.0417
MLE tableau: [40. 29. 11.] with error 0.0292
EYD tableau: [47, 21, 12] with error 0.0875
MLE tableau: [46. 18. 16.] with error 0.1083
EYD tableau: [44, 22, 14] with error 0.0583
MLE tableau: [42. 19. 19.] with error 0.0958
EYD tableau: [46, 18, 16] with error 0.1083
MLE tableau: [44. 18. 18.] with error 0.1083
EYD tableau: [45, 27, 8] with error 0.0667
MLE tableau: [43. 28.  9.] with error 0.0542
