CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.41773767 0.34108138 0.24118095]
EYD tableau: [46, 41, 33] with error 0.0344
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [52, 41, 27] with error 0.0162
MLE tableau: [44. 44. 32.] with error 0.0511
EYD tableau: [52, 41, 27] with error 0.0162
MLE tableau: [44. 44. 32.] with error 0.0511
EYD tableau: [55, 43, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [57, 37, 26] with error 0.0573
MLE tableau: [54. 33. 33.] with error 0.0661
EYD tableau: [50, 44, 26] with error 0.0256
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [54, 38, 28] with error 0.0323
MLE tableau: [49. 36. 35.] with error 0.0505
EYD tableau: [58, 37, 25] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [56, 46, 18] with error 0.0912
MLE tableau: [51. 50. 19.] with error 0.0828
EYD tableau: [50, 42, 28] with error 0.0089
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [47, 40, 33] with error 0.0338
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [50, 41, 29] with error 0.0011
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [54, 41, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [54, 42, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [53, 40, 27] with error 0.0239
MLE tableau: [44. 44. 32.] with error 0.0511
EYD tableau: [54, 40, 26] with error 0.0323
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [55, 41, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [56, 37, 27] with error 0.0489
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [55, 40, 25] with error 0.0406
MLE tableau: [47. 45. 28.] with error 0.0339
EYD tableau: [54, 41, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [54, 36, 30] with error 0.0411
MLE tableau: [48. 36. 36.] with error 0.0588
EYD tableau: [51, 41, 28] with error 0.0078
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [61, 34, 25] with error 0.0906
MLE tableau: [59. 31. 30.] with error 0.0827
EYD tableau: [58, 41, 21] with error 0.0662
MLE tableau: [53. 44. 23.] with error 0.0495
EYD tableau: [54, 41, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [56, 34, 30] with error 0.0577
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [60, 35, 25] with error 0.0823
MLE tableau: [58. 31. 31.] with error 0.0827
EYD tableau: [59, 39, 22] with error 0.0739
MLE tableau: [56. 40. 24.] with error 0.0489
EYD tableau: [59, 40, 21] with error 0.0739
MLE tableau: [55. 42. 23.] with error 0.0495
EYD tableau: [62, 33, 25] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
EYD tableau: [62, 33, 25] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
EYD tableau: [58, 35, 27] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [55, 43, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [55, 35, 30] with error 0.0494
MLE tableau: [50. 35. 35.] with error 0.0505
EYD tableau: [53, 48, 19] with error 0.0828
MLE tableau: [50. 50. 20.] with error 0.0756
EYD tableau: [53, 36, 31] with error 0.0411
MLE tableau: [46. 37. 37.] with error 0.0672
EYD tableau: [56, 42, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [59, 35, 26] with error 0.0739
MLE tableau: [56. 32. 32.] with error 0.0744
EYD tableau: [49, 41, 30] with error 0.0094
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [62, 35, 23] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
EYD tableau: [56, 36, 28] with error 0.0489
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [58, 43, 19] with error 0.0828
MLE tableau: [50. 50. 20.] with error 0.0756
EYD tableau: [49, 41, 30] with error 0.0094
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [50, 44, 26] with error 0.0256
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [53, 43, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [53, 36, 31] with error 0.0411
MLE tableau: [46. 37. 37.] with error 0.0672
EYD tableau: [59, 36, 25] with error 0.0739
MLE tableau: [56. 32. 32.] with error 0.0744
EYD tableau: [54, 44, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [50, 40, 30] with error 0.0088
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [56, 44, 20] with error 0.0745
MLE tableau: [49. 49. 22.] with error 0.0673
EYD tableau: [56, 37, 27] with error 0.0489
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [50, 41, 29] with error 0.0011
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [54, 41, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [54, 36, 30] with error 0.0411
MLE tableau: [48. 36. 36.] with error 0.0588
EYD tableau: [51, 37, 32] with error 0.0327
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [55, 36, 29] with error 0.0411
MLE tableau: [51. 35. 34.] with error 0.0494
EYD tableau: [58, 42, 20] with error 0.0745
MLE tableau: [50. 48. 22.] with error 0.0589
EYD tableau: [55, 35, 30] with error 0.0494
MLE tableau: [50. 35. 35.] with error 0.0505
EYD tableau: [50, 41, 29] with error 0.0011
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [62, 31, 27] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
