CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.4, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [46, 41, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [47, 43, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 42, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 41, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 40, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 38, 34] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [45, 38, 37] with error 0.0417
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 40, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [55, 38, 27] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [62, 37, 21] with error 0.1833
MLE tableau: [60. 37. 23.] with error 0.1667
EYD tableau: [47, 47, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [46, 42, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 44, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [47, 40, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 42, 25] with error 0.125
MLE tableau: [46. 46. 28.] with error 0.1
EYD tableau: [50, 40, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 40, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 41, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 37, 29] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [51, 38, 31] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 40, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [53, 41, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 41, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [55, 40, 25] with error 0.125
MLE tableau: [47. 45. 28.] with error 0.1
EYD tableau: [57, 35, 28] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [56, 39, 25] with error 0.1333
MLE tableau: [52. 39. 29.] with error 0.1
EYD tableau: [59, 33, 28] with error 0.1583
MLE tableau: [56. 32. 32.] with error 0.1333
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 41, 29] with error 0.0917
