CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [45, 43, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [47, 41, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 37, 35] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 39, 30] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 39, 31] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 38, 28] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [57, 35, 28] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [54, 37, 29] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [47, 42, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 43, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 40, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [45, 42, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 43, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [55, 36, 29] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 40, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 37, 32] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 37, 32] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 41, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [49, 42, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [58, 38, 24] with error 0.15
MLE tableau: [55. 37. 28.] with error 0.125
EYD tableau: [52, 37, 31] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 37, 27] with error 0.1333
MLE tableau: [52. 34. 34.] with error 0.1
EYD tableau: [55, 36, 29] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [55, 40, 25] with error 0.125
MLE tableau: [47. 45. 28.] with error 0.1
EYD tableau: [53, 37, 30] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [59, 41, 20] with error 0.1667
MLE tableau: [54. 44. 22.] with error 0.15
EYD tableau: [50, 41, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 34, 30] with error 0.1333
MLE tableau: [52. 34. 34.] with error 0.1
EYD tableau: [56, 40, 24] with error 0.1333
MLE tableau: [50. 43. 27.] with error 0.1083
EYD tableau: [49, 44, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [54, 37, 29] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [49, 37, 34] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 43, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [57, 36, 27] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [53, 40, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [54, 38, 28] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [55, 38, 27] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [55, 38, 27] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [48, 41, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 41, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [45, 40, 35] with error 0.0417
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 39, 33] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 35, 31] with error 0.1167
MLE tableau: [48. 36. 36.] with error 0.0667
EYD tableau: [49, 41, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 40, 28] with error 0.1
MLE tableau: [42. 42. 36.] with error 0.0333
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [53, 35, 32] with error 0.1083
MLE tableau: [44. 38. 38.] with error 0.0333
EYD tableau: [50, 40, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 42, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [53, 38, 29] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [54, 35, 31] with error 0.1167
MLE tableau: [48. 36. 36.] with error 0.0667
EYD tableau: [50, 40, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [45, 42, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 41, 23] with error 0.1417
MLE tableau: [48. 47. 25.] with error 0.125
EYD tableau: [53, 42, 25] with error 0.125
MLE tableau: [46. 46. 28.] with error 0.1
EYD tableau: [52, 40, 28] with error 0.1
MLE tableau: [42. 42. 36.] with error 0.0333
EYD tableau: [51, 39, 30] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 45, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [51, 39, 30] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 36, 35] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 36, 31] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [49, 38, 33] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 42, 22] with error 0.15
MLE tableau: [48. 48. 24.] with error 0.1333
EYD tableau: [51, 41, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 39, 29] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 40, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [45, 42, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [46, 41, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 44, 22] with error 0.15
MLE tableau: [48. 48. 24.] with error 0.1333
EYD tableau: [50, 42, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 40, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 36, 34] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 38, 26] with error 0.1333
MLE tableau: [52. 34. 34.] with error 0.1
EYD tableau: [48, 39, 33] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 38, 32] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 39, 33] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [55, 37, 28] with error 0.125
MLE tableau: [51. 35. 34.] with error 0.0917
EYD tableau: [52, 38, 30] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 39, 30] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 40, 28] with error 0.1
MLE tableau: [42. 42. 36.] with error 0.0333
EYD tableau: [46, 41, 33] with error 0.0583
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [55, 35, 30] with error 0.125
MLE tableau: [50. 35. 35.] with error 0.0833
EYD tableau: [54, 38, 28] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [47, 42, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 36, 33] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 36, 32] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 38, 31] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 41, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [46, 44, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [46, 43, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 41, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [55, 39, 26] with error 0.125
MLE tableau: [50. 39. 31.] with error 0.0833
EYD tableau: [50, 46, 24] with error 0.1333
MLE tableau: [47. 46. 27.] with error 0.1083
EYD tableau: [47, 41, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 39, 27] with error 0.1167
MLE tableau: [49. 37. 34.] with error 0.075
EYD tableau: [51, 39, 30] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 38, 28] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [48, 42, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 42, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 39, 32] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 39, 32] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 39, 29] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [54, 37, 29] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [57, 37, 26] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [49, 38, 33] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [57, 37, 26] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [51, 36, 33] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 41, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [48, 40, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [56, 40, 24] with error 0.1333
MLE tableau: [50. 43. 27.] with error 0.1083
EYD tableau: [54, 39, 27] with error 0.1167
MLE tableau: [49. 37. 34.] with error 0.075
EYD tableau: [54, 37, 29] with error 0.1167
MLE tableau: [49. 36. 35.] with error 0.075
EYD tableau: [53, 41, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [47, 42, 31] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 38, 31] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [62, 32, 26] with error 0.1833
MLE tableau: [60. 30. 30.] with error 0.1667
EYD tableau: [58, 36, 26] with error 0.15
MLE tableau: [55. 33. 32.] with error 0.125
EYD tableau: [57, 40, 23] with error 0.1417
MLE tableau: [52. 43. 25.] with error 0.125
EYD tableau: [57, 35, 28] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [51, 41, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [49, 39, 32] with error 0.075
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [45, 41, 34] with error 0.05
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 42, 26] with error 0.1167
MLE tableau: [45. 45. 30.] with error 0.0833
EYD tableau: [47, 41, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 37, 30] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [53, 40, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [59, 34, 27] with error 0.1583
MLE tableau: [56. 32. 32.] with error 0.1333
EYD tableau: [51, 38, 31] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [52, 37, 31] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [53, 39, 28] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [48, 43, 29] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [47, 41, 32] with error 0.0667
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [46, 40, 34] with error 0.05
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 42, 27] with error 0.1083
MLE tableau: [44. 44. 32.] with error 0.0667
EYD tableau: [58, 36, 26] with error 0.15
MLE tableau: [55. 33. 32.] with error 0.125
EYD tableau: [53, 36, 31] with error 0.1083
MLE tableau: [46. 37. 37.] with error 0.05
EYD tableau: [49, 41, 30] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [57, 35, 28] with error 0.1417
MLE tableau: [54. 33. 33.] with error 0.1167
EYD tableau: [50, 38, 32] with error 0.0833
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [50, 42, 28] with error 0.1
MLE tableau: [40. 40. 40.] with error 0.0
EYD tableau: [51, 37, 32] with error 0.0917
MLE tableau: [40. 40. 40.] with error 0.0
summary: d=3 has EYD error 0.1008333333333333 and MLE error 0.03894444444444444 with runtime 4.15966272354126
n=120, tol=120, tries=150, dist_try=0.5, d=4, alpha=[0.25 0.25 0.25 0.25]
EYD tableau: [37, 34, 28, 21] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [41, 37, 24, 18] with error 0.15
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 29, 27, 22] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 33, 26, 19] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [46, 32, 25, 17] with error 0.15
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [46, 30, 27, 17] with error 0.1333
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [49, 36, 20, 15] with error 0.2083
MLE tableau: [41. 41. 19. 19.] with error 0.1833
EYD tableau: [48, 35, 26, 11] with error 0.1917
MLE tableau: [39. 34. 34. 13.] with error 0.1417
EYD tableau: [38, 34, 27, 21] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 36, 24, 21] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 33, 26, 22] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 33, 25, 24] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 32, 26, 24] with error 0.0833
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [37, 35, 29, 19] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [41, 35, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 36, 32, 12] with error 0.15
MLE tableau: [36. 35. 35. 14.] with error 0.1333
EYD tableau: [39, 33, 29, 19] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 35, 27, 16] with error 0.1417
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [39, 32, 28, 21] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [46, 36, 26, 12] with error 0.1833
MLE tableau: [36. 35. 35. 14.] with error 0.1333
EYD tableau: [46, 35, 25, 14] with error 0.175
MLE tableau: [36. 35. 32. 17.] with error 0.1083
EYD tableau: [43, 28, 27, 22] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 33, 27, 22] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 27, 27, 22] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 28, 26, 22] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 30, 27, 23] with error 0.0833
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [46, 32, 25, 17] with error 0.15
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [45, 30, 23, 22] with error 0.125
MLE tableau: [36. 28. 28. 28.] with error 0.05
EYD tableau: [46, 30, 28, 16] with error 0.1333
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [48, 33, 22, 17] with error 0.175
MLE tableau: [44. 26. 25. 25.] with error 0.1167
EYD tableau: [42, 30, 27, 21] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [47, 31, 24, 18] with error 0.15
MLE tableau: [42. 26. 26. 26.] with error 0.1
EYD tableau: [40, 33, 25, 22] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 32, 28, 18] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 38, 23, 19] with error 0.15
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 34, 27, 21] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 33, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [49, 28, 23, 20] with error 0.1583
