CPU counts:  24
n=tol=80, tries=300, dist_try=1, d=3, alpha=[0.5        0.33333333 0.16666667]
EYD tableau: [39, 29, 12] with error 0.0292
MLE tableau: [34. 33. 13.] with error 0.0792
EYD tableau: [44, 33, 3] with error 0.1292
MLE tableau: [39. 38.  3.] with error 0.1417
EYD tableau: [43, 21, 16] with error 0.0708
MLE tableau: [41. 20. 19.] with error 0.0833
EYD tableau: [42, 25, 13] with error 0.025
MLE tableau: [40. 25. 15.] with error 0.0208
EYD tableau: [45, 20, 15] with error 0.0833
MLE tableau: [44. 18. 18.] with error 0.1083
EYD tableau: [47, 20, 13] with error 0.0875
MLE tableau: [46. 17. 17.] with error 0.1208
EYD tableau: [45, 24, 11] with error 0.0625
MLE tableau: [43. 24. 13.] with error 0.0375
EYD tableau: [45, 25, 10] with error 0.0625
MLE tableau: [43. 26. 11.] with error 0.0375
EYD tableau: [43, 23, 14] with error 0.0458
MLE tableau: [41. 20. 19.] with error 0.0833
EYD tableau: [42, 26, 12] with error 0.025
MLE tableau: [39. 27. 14.] with error 0.0125
EYD tableau: [39, 28, 13] with error 0.0167
MLE tableau: [33. 32. 15.] with error 0.0875
EYD tableau: [41, 28, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [41, 28, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [42, 26, 12] with error 0.025
MLE tableau: [39. 27. 14.] with error 0.0125
EYD tableau: [43, 22, 15] with error 0.0583
MLE tableau: [41. 20. 19.] with error 0.0833
EYD tableau: [45, 25, 10] with error 0.0625
MLE tableau: [43. 26. 11.] with error 0.0375
EYD tableau: [44, 26, 10] with error 0.05
MLE tableau: [42. 27. 11.] with error 0.0292
EYD tableau: [44, 25, 11] with error 0.05
MLE tableau: [42. 26. 12.] with error 0.025
EYD tableau: [41, 26, 13] with error 0.0125
MLE tableau: [38. 27. 15.] with error 0.025
EYD tableau: [45, 28, 7] with error 0.0792
MLE tableau: [42. 30.  8.] with error 0.0667
EYD tableau: [45, 26, 9] with error 0.0625
MLE tableau: [43. 27. 10.] with error 0.0417
EYD tableau: [45, 24, 11] with error 0.0625
MLE tableau: [43. 24. 13.] with error 0.0375
EYD tableau: [37, 32, 11] with error 0.0667
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [47, 22, 11] with error 0.0875
MLE tableau: [46. 21. 13.] with error 0.075
EYD tableau: [45, 25, 10] with error 0.0625
MLE tableau: [43. 26. 11.] with error 0.0375
EYD tableau: [47, 21, 12] with error 0.0875
MLE tableau: [46. 18. 16.] with error 0.1083
EYD tableau: [46, 20, 14] with error 0.0833
MLE tableau: [45. 18. 17.] with error 0.1083
EYD tableau: [48, 23, 9] with error 0.1
MLE tableau: [47. 23. 10.] with error 0.0875
EYD tableau: [48, 21, 11] with error 0.1
MLE tableau: [47. 20. 13.] with error 0.0875
EYD tableau: [49, 22, 9] with error 0.1125
MLE tableau: [48. 22. 10.] with error 0.1
EYD tableau: [50, 19, 11] with error 0.125
MLE tableau: [49. 16. 15.] with error 0.1333
EYD tableau: [48, 20, 12] with error 0.1
MLE tableau: [47. 17. 16.] with error 0.1208
EYD tableau: [42, 26, 12] with error 0.025
MLE tableau: [39. 27. 14.] with error 0.0125
EYD tableau: [45, 23, 12] with error 0.0625
MLE tableau: [44. 22. 14.] with error 0.0583
EYD tableau: [34, 24, 22] with error 0.1083
MLE tableau: [27. 27. 26.] with error 0.1625
EYD tableau: [38, 26, 16] with error 0.0333
MLE tableau: [33. 27. 20.] with error 0.0875
EYD tableau: [47, 27, 6] with error 0.0917
MLE tableau: [45. 29.  6.] with error 0.0917
EYD tableau: [38, 29, 13] with error 0.0292
MLE tableau: [33. 32. 15.] with error 0.0875
EYD tableau: [46, 22, 12] with error 0.075
MLE tableau: [45. 20. 15.] with error 0.0833
EYD tableau: [46, 21, 13] with error 0.075
MLE tableau: [45. 18. 17.] with error 0.1083
EYD tableau: [44, 27, 9] with error 0.0542
MLE tableau: [41. 29. 10.] with error 0.0417
EYD tableau: [39, 25, 16] with error 0.0333
MLE tableau: [36. 22. 22.] with error 0.1083
EYD tableau: [38, 29, 13] with error 0.0292
MLE tableau: [33. 32. 15.] with error 0.0875
EYD tableau: [35, 23, 22] with error 0.1083
MLE tableau: [27. 27. 26.] with error 0.1625
EYD tableau: [42, 27, 11] with error 0.0292
MLE tableau: [39. 29. 12.] with error 0.0292
EYD tableau: [38, 26, 16] with error 0.0333
MLE tableau: [33. 27. 20.] with error 0.0875
EYD tableau: [37, 29, 14] with error 0.0375
MLE tableau: [32. 32. 16.] with error 0.1
EYD tableau: [48, 21, 11] with error 0.1
MLE tableau: [47. 20. 13.] with error 0.0875
EYD tableau: [42, 24, 14] with error 0.0333
MLE tableau: [40. 22. 18.] with error 0.0583
EYD tableau: [41, 27, 12] with error 0.0167
MLE tableau: [37. 30. 13.] with error 0.0417
EYD tableau: [40, 25, 15] with error 0.0208
MLE tableau: [37. 24. 19.] with error 0.0708
EYD tableau: [43, 26, 11] with error 0.0375
MLE tableau: [41. 27. 12.] with error 0.0167
EYD tableau: [40, 29, 11] with error 0.0292
MLE tableau: [34. 34. 12.] with error 0.0917
EYD tableau: [35, 26, 19] with error 0.0708
MLE tableau: [27. 27. 26.] with error 0.1625
EYD tableau: [46, 25, 9] with error 0.075
MLE tableau: [44. 26. 10.] with error 0.05
EYD tableau: [42, 26, 12] with error 0.025
MLE tableau: [39. 27. 14.] with error 0.0125
EYD tableau: [45, 26, 9] with error 0.0625
MLE tableau: [43. 27. 10.] with error 0.0417
EYD tableau: [47, 24, 9] with error 0.0875
MLE tableau: [46. 24. 10.] with error 0.075
