CPU counts:  24
n=150, tol=100, tries=300, dist_try=0.5, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [56, 48, 46] with error 0.04
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [57, 50, 43] with error 0.0467
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [57, 50, 43] with error 0.0467
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [61, 51, 38] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [62, 50, 38] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [66, 49, 35] with error 0.1067
MLE tableau: [60. 48. 42.] with error 0.0667
EYD tableau: [64, 46, 40] with error 0.0933
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [73, 42, 35] with error 0.1533
MLE tableau: [70.5 40.5 39. ] with error 0.1367
EYD tableau: [57, 56, 37] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [58, 52, 40] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [58, 51, 41] with error 0.06
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [59, 53, 38] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [59, 51, 40] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [62, 48, 40] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [61, 52, 37] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [65, 47, 38] with error 0.1
MLE tableau: [57.  46.5 46.5] with error 0.0467
EYD tableau: [57, 47, 46] with error 0.0467
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [59, 49, 42] with error 0.06
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [63, 53, 34] with error 0.1067
MLE tableau: [55.5 55.5 39. ] with error 0.0733
EYD tableau: [66, 57, 27] with error 0.1533
MLE tableau: [61.5 60.  28.5] with error 0.1433
EYD tableau: [63, 53, 34] with error 0.1067
MLE tableau: [55.5 55.5 39. ] with error 0.0733
EYD tableau: [63, 53, 34] with error 0.1067
MLE tableau: [55.5 55.5 39. ] with error 0.0733
EYD tableau: [63, 50, 37] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [64, 53, 33] with error 0.1133
MLE tableau: [57. 57. 36.] with error 0.0933
EYD tableau: [65, 55, 30] with error 0.1333
MLE tableau: [58.5 58.5 33. ] with error 0.1133
EYD tableau: [65, 51, 34] with error 0.1067
MLE tableau: [55.5 55.5 39. ] with error 0.0733
EYD tableau: [65, 51, 34] with error 0.1067
MLE tableau: [55.5 55.5 39. ] with error 0.0733
EYD tableau: [65, 46, 39] with error 0.1
MLE tableau: [57.  46.5 46.5] with error 0.0467
EYD tableau: [67, 49, 34] with error 0.1133
MLE tableau: [61.5 49.5 39. ] with error 0.0767
EYD tableau: [63, 46, 41] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [71, 52, 27] with error 0.1533
MLE tableau: [64.5 57.  28.5] with error 0.1433
EYD tableau: [58, 52, 40] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [67, 49, 34] with error 0.1133
MLE tableau: [61.5 49.5 39. ] with error 0.0767
EYD tableau: [64, 46, 40] with error 0.0933
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [72, 46, 32] with error 0.1467
MLE tableau: [69.  40.5 40.5] with error 0.1267
EYD tableau: [62, 50, 38] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [58, 52, 40] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [64, 50, 36] with error 0.0933
MLE tableau: [54.  52.5 43.5] with error 0.0433
EYD tableau: [67, 47, 36] with error 0.1133
MLE tableau: [63.  43.5 43.5] with error 0.0867
EYD tableau: [63, 47, 40] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [56, 54, 40] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [56, 50, 44] with error 0.04
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [54, 51, 45] with error 0.0333
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [60, 49, 41] with error 0.0667
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [61, 48, 41] with error 0.0733
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [59, 50, 41] with error 0.06
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [60, 52, 38] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [63, 49, 38] with error 0.0867
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [61, 49, 40] with error 0.0733
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [59, 49, 42] with error 0.06
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [58, 53, 39] with error 0.0733
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [65, 48, 37] with error 0.1
MLE tableau: [58.5 46.5 45. ] with error 0.0567
EYD tableau: [62, 46, 42] with error 0.08
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [65, 47, 38] with error 0.1
MLE tableau: [57.  46.5 46.5] with error 0.0467
EYD tableau: [58, 48, 44] with error 0.0533
MLE tableau: [51.  49.5 49.5] with error 0.0067
EYD tableau: [64, 53, 33] with error 0.1133
