CPU counts:  24
gradient ascent n=100, tries=300, d=3, alpha=[0.41773767 0.34108138 0.24118095]
EYD tableau: [42, 37, 21] with error 0.0312
MLE tableau: [37.57376677 37.50813774 24.91809549] with error 0.042
EYD tableau: [45, 34, 21] with error 0.0323
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [47, 29, 24] with error 0.0523
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [42, 37, 21] with error 0.0312
MLE tableau: [37.57376677 37.50813774 24.91809549] with error 0.042
EYD tableau: [48, 37, 15] with error 0.0912
MLE tableau: [41.90813774 41.77376677 16.31809549] with error 0.078
EYD tableau: [41, 32, 27] with error 0.0288
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [43, 34, 23] with error 0.0123
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [41, 39, 20] with error 0.0489
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [46, 33, 21] with error 0.0423
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [47, 34, 19] with error 0.0523
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [44, 37, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [45, 36, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [50, 27, 23] with error 0.0823
MLE tableau: [47.57376677 26.30813774 26.11809549] with error 0.078
EYD tableau: [46, 35, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [46, 32, 22] with error 0.0423
MLE tableau: [41.37376677 29.31809549 29.30813774] with error 0.0519
EYD tableau: [44, 31, 25] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [48, 32, 20] with error 0.0623
MLE tableau: [44.37376677 31.70813774 23.91809549] with error 0.026
EYD tableau: [46, 32, 22] with error 0.0423
MLE tableau: [41.37376677 29.31809549 29.30813774] with error 0.0519
EYD tableau: [50, 32, 18] with error 0.0823
MLE tableau: [46.97376677 32.50813774 20.51809549] with error 0.052
EYD tableau: [46, 36, 18] with error 0.0612
MLE tableau: [40.10813774 39.97376677 19.91809549] with error 0.0587
EYD tableau: [46, 33, 21] with error 0.0423
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [47, 36, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
